"Remote: Data Analyst (Data Lineage, Financial industry)_Long term",$42K-$74K (Glassdoor est.),4,"Reliable Software Resources
4.0","New York, NY","Northville, MI",501 to 1000 employees,IT Services,Information Technology,$50 to $100 million (USD)
Senior Data Analyst,$42K-$74K (Glassdoor est.),-1,Maisonette Careers,"Brooklyn, NY",-1,-1,-1,-1,-1
Data Governance Analyst,$42K-$74K (Glassdoor est.),3.5,"Donnelly & Moore Corporation
3.5","New York, NY","New City, NY",1 to 50 employees,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
"Data Management, Firmwide Data Quality, Analyst",$42K-$74K (Glassdoor est.),3.9,"J.P. Morgan
3.9","Newark, NJ","New York, NY",10000+ employees,Investment Banking & Asset Management,Finance,$10+ billion (USD)
Compensation and Data Analyst (Human Resources),$42K-$74K (Glassdoor est.),4.1,"Saratoga Medical Center
4.1","New York, NY","Fairfax, VA",201 to 500 employees,Health Care Services & Hospitals,Health Care,$10 to $25 million (USD)
Senior Data Analyst,$42K-$74K (Glassdoor est.),3.1,"YAI/NIPD Network
3.1","New York, NY","New York, NY",5001 to 10000 employees,Social Assistance,Non-Profit,$100 to $500 million (USD)
"Data Analyst II, Division of Gastroenterology (Research)",$42K-$74K (Glassdoor est.),3.1,"Mount Sinai Medical Center
3.1","New York, NY","Miami Beach, FL",1001 to 5000 employees,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD)
NY Healthcare Data/Reporting Analyst,$42K-$74K (Glassdoor est.),3.9,"Diverse Lynx
3.9","New York, NY","Princeton, NJ",501 to 1000 employees,IT Services,Information Technology,$100 to $500 million (USD)
Data Analyst,$42K-$74K (Glassdoor est.),4.3,"Quad Consultancy
4.3","Mount Vernon, NY","Mosta, Malta",1 to 50 employees,Consulting,Business Services,Unknown / Non-Applicable
Big Data QA Analyst / QA Tester / Test Analyst,$42K-$74K (Glassdoor est.),3.7,"Competent Systems, Inc
3.7","Jersey City, NJ","Alpharetta, GA",201 to 500 employees,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD)
Senior Data Analyst,$42K-$74K (Glassdoor est.),3.2,"1199SEIU Funds
3.2","New York, NY","New York, NY",1001 to 5000 employees,Insurance Carriers,Insurance,$100 to $500 million (USD)
Senior Supply Chain Data Analyst,$42K-$74K (Glassdoor est.),3.8,"Peloton Interactive
3.8","New York, NY","New York, NY",1001 to 5000 employees,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable
"Data Analyst, Capital Markets (Manager)",$42K-$74K (Glassdoor est.),3.5,"Genpact
3.5","New York, NY","New York, NY",10000+ employees,IT Services,Information Technology,$2 to $5 billion (USD)
"Analyst, People Operations & HR Data",$42K-$74K (Glassdoor est.),-1,LACOSTE CORPORATE,"New York, NY",-1,-1,-1,-1,-1
"Senior Analyst, Data Instrumentation & Quality (Disney+)",$42K-$74K (Glassdoor est.),3.6,"Disney Streaming Services
3.6","New York, NY","New York, NY",501 to 1000 employees,Internet,Information Technology,Unknown / Non-Applicable
CIB F&BM Global Program Management EMEA - International Regulatory - Data Provisioning Business Analyst - Associate,$42K-$74K (Glassdoor est.),3.9,"J.P. Morgan
3.9","New York, NY","New York, NY",10000+ employees,Investment Banking & Asset Management,Finance,$10+ billion (USD)
Business Data Analyst (Financial Services),$42K-$74K (Glassdoor est.),-1,The Enosys Group LLC,"New York, NY","Tuxedo Park, NY",1 to 50 employees,-1,-1,Less than $1 million (USD)
Senior IT Technical Data Analyst,$42K-$74K (Glassdoor est.),2.4,"EmblemHealth
2.4","New York, NY","New York, NY",1001 to 5000 employees,Insurance Carriers,Insurance,$5 to $10 billion (USD)
Data Analyst/Data Acquisition Speciliest with Financial Industry Exp,$42K-$74K (Glassdoor est.),4,"Reliable Software Resources
4.0","New York, NY","Northville, MI",501 to 1000 employees,IT Services,Information Technology,$50 to $100 million (USD)
Data Analyst/Data Scanning with Financial Industry exp,$42K-$74K (Glassdoor est.),4,"Reliable Software Resources
4.0","New York, NY","Northville, MI",501 to 1000 employees,IT Services,Information Technology,$50 to $100 million (USD)
"Sr Business Analyst, Data Science",$42K-$74K (Glassdoor est.),3.6,"Jackson Hewitt
3.6","Jersey City, NJ","Jersey City, NJ",201 to 500 employees,Other Retail Stores,Retail,Unknown / Non-Applicable
Senior Data Analyst - Data Governance,$42K-$74K (Glassdoor est.),4,"Reliable Software Resources
4.0","New York, NY","Northville, MI",501 to 1000 employees,IT Services,Information Technology,$50 to $100 million (USD)
"Senior Manager, Data Analyst",$42K-$74K (Glassdoor est.),3.2,"National Kidney Foundation
3.2","New York, NY","New York, NY",51 to 200 employees,Health Fundraising Organizations,Non-Profit,$25 to $50 million (USD)
Senior Business Intelligence & Data Science Analyst,$42K-$74K (Glassdoor est.),2.5,"CheckedUp
2.5","New York, NY","New York, NY (US), NY",1 to 50 employees,-1,-1,Unknown / Non-Applicable
Risk Adjustment Data Analyst,$42K-$74K (Glassdoor est.),3.6,"Horizon Blue Cross Blue Shield of New Jersey
3.6","Newark, NJ","Newark, NJ",1001 to 5000 employees,Insurance Carriers,Insurance,$10+ billion (USD)
Data Analyst III,$42K-$74K (Glassdoor est.),3,"IPRO
3.0","Lake Success, NY","N New Hyde Park, NY",201 to 500 employees,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD)
"Sr. Data Analyst, Retail Media",$77K-$132K (Glassdoor est.),3.9,"Criteo
3.9","New York, NY","Paris, France",1001 to 5000 employees,Internet,Information Technology,$2 to $5 billion (USD)
Sr IT Technical Data Analyst,$77K-$132K (Glassdoor est.),2.4,"EmblemHealth
2.4","New York, NY","New York, NY",1001 to 5000 employees,Insurance Carriers,Insurance,$5 to $10 billion (USD)
Senior Marketing Data Analyst,$77K-$132K (Glassdoor est.),2.8,"ERGO
2.8","New York, NY","New York, NY",1 to 50 employees,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Data Analyst III,$77K-$132K (Glassdoor est.),4.4,"ACT Consulting
4.4","New York, NY","London, United Kingdom",1 to 50 employees,Consulting,Business Services,Unknown / Non-Applicable
TX Healthcare Data/Reporting Analyst,$77K-$132K (Glassdoor est.),4.8,"Tekfortune Inc.
4.8","New York, NY","Piscataway, NJ",1 to 50 employees,IT Services,Information Technology,Unknown / Non-Applicable
Senior SQL Data Warehouse Analyst,$77K-$132K (Glassdoor est.),2.8,"Intercontinental Exchange, Inc.
2.8","New York, NY","Atlanta, GA",1001 to 5000 employees,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD)
Data Analyst Junior,$77K-$132K (Glassdoor est.),5,"Staffigo Technical Services, LLC
5.0","New York, NY","Woodridge, IL",51 to 200 employees,IT Services,Information Technology,$50 to $100 million (USD)
SR. Power BI with DAX - Data Analyst,$77K-$132K (Glassdoor est.),3.7,"8K Miles Software Services, Inc.
3.7","New York, NY","Santa Clara, CA",201 to 500 employees,Computer Hardware & Software,Information Technology,$1 to $5 million (USD)
Informatica IDQ - Data Quality Analyst (Contract),$77K-$132K (Glassdoor est.),4,"Two95 International Inc.
4.0","New York, NY","Cherry Hill, NJ",1 to 50 employees,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
"Senior Solutions Analyst, Data Specialist",$77K-$132K (Glassdoor est.),4.2,"VTS
4.2","New York, NY","New York, NY",201 to 500 employees,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD)
Operations data analyst,$77K-$132K (Glassdoor est.),-1,Sky I.T. Group (Sky Business Intelligence Team),"New York, NY",-1,-1,-1,-1,-1
HR Data Analyst,$77K-$132K (Glassdoor est.),3.5,"Robert Half
3.5","Jersey City, NJ","Menlo Park, CA",10000+ employees,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD)
Healthcare Senior Data Analyst - HEDIS,$77K-$132K (Glassdoor est.),2,"Village Care
2.0","New York, NY","New York, NY",501 to 1000 employees,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
Senior Data Quality Analyst,$77K-$132K (Glassdoor est.),3.3,"Quest Diagnostics
3.3","Secaucus, NJ","Secaucus, NJ",10000+ employees,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD)
Financial Data Analyst - Accounting ll,$77K-$132K (Glassdoor est.),-1,Softinc,"New York, NY","South Plainfield, NJ",51 to 200 employees,-1,-1,$1 to $5 million (USD)
Data Analyst - Litigation,$77K-$132K (Glassdoor est.),-1,"KnowledgePro, LLC","New York, NY",-1,-1,-1,-1,-1
Quantitative Data Analyst/Developer,$77K-$132K (Glassdoor est.),5,"Creative Data Resources
5.0","New York, NY","New York, NY",1 to 50 employees,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
"Sr Business Data Analyst SAP, SKU, Supply Chain",$77K-$132K (Glassdoor est.),3.4,"EVERSANA
3.4","New York, NY","Chicago, IL",1001 to 5000 employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
"Senior Data Analyst, Gas Planning and Design Engineering",$77K-$132K (Glassdoor est.),3.6,"National Grid USA
3.6","Brooklyn, NY","Waltham, MA",10000+ employees,Utilities,"Oil, Gas, Energy & Utilities",$5 to $10 billion (USD)
Data Analyst - Cardiac Cath Lab,$77K-$132K (Glassdoor est.),2.1,"Barnabas Health
2.1","West Orange, NJ","Gibsonia, PA",501 to 1000 employees,-1,-1,$5 to $10 million (USD)
Senior Data Business Analyst,$77K-$132K (Glassdoor est.),2.8,"Aegis Media
2.8","New York, NY","London, United Kingdom",1001 to 5000 employees,Advertising & Marketing,Business Services,$2 to $5 billion (USD)
Business Analyst/Data Analyst - Capital Markets Data,$77K-$132K (Glassdoor est.),3,"RMS Computer Corporation
3.0","Jersey City, NJ","New York, NY",201 to 500 employees,Computer Hardware & Software,Information Technology,$25 to $50 million (USD)
"Firmwide Reference Data Operations, Pricing Operations, Analyst",$77K-$132K (Glassdoor est.),3.9,"J.P. Morgan
3.9","Newark, NJ","New York, NY",10000+ employees,Investment Banking & Asset Management,Finance,$10+ billion (USD)
Senior Healthcare Data Analyst,$77K-$132K (Glassdoor est.),4.5,"RAMPS International Inc
4.5","New York, NY","Edison, NJ",51 to 200 employees,Consulting,Business Services,$5 to $10 million (USD)
"Data Analyst, Quality & Patient Safety",$77K-$132K (Glassdoor est.),-1,Episcopal Health Services Inc.,"Far Rockaway, NY",-1,-1,-1,-1,-1
Senior Data Analyst - FHC - Family Support Center,$77K-$132K (Glassdoor est.),4,"NYU Langone Health
4.0","New York, NY","New York, NY",10000+ employees,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD)
QA Data Analyst,$77K-$132K (Glassdoor est.),5,"Professional Resource Group
5.0","Lake Success, NY","Spring, TX",1 to 50 employees,Advertising & Marketing,Business Services,Less than $1 million (USD)
Sr Data Analyst for Customer Based Management,$77K-$132K (Glassdoor est.),3,"Altice USA
3.0","Long Island City, NY","Queens Village, NY",10000+ employees,-1,-1,Unknown / Non-Applicable
"Data Analyst/Project Manager in Jersey City, New Jersey | Careers at Harborside",$77K-$132K (Glassdoor est.),3.4,"Sumitomo Mitsui Banking Corporation (SMBC)
3.4","Jersey City, NJ","Tokyo, Japan",10000+ employees,Investment Banking & Asset Management,Finance,$10+ billion (USD)
Senior Financial Analyst - Enterprise Data,$98K-$114K (Glassdoor est.),3.2,"Geller & Company
3.2","New York, NY","New York, NY",501 to 1000 employees,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
Data Analyst with Data Lineage/Rochade,$98K-$114K (Glassdoor est.),4,"Reliable Software Resources
4.0","Florham Park, NJ","Northville, MI",501 to 1000 employees,IT Services,Information Technology,$50 to $100 million (USD)
Senior Market Data Content Acquisition/Procurement Analyst,$98K-$114K (Glassdoor est.),2.8,"Intercontinental Exchange, Inc.
2.8","New York, NY","Atlanta, GA",1001 to 5000 employees,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD)
Sr. Specialist Reporting Data Analyst /Engineer - Cloud,$98K-$114K (Glassdoor est.),3.2,"The Bank of New York Mellon
3.2","Florham Park, NJ","New York, NY",10000+ employees,Investment Banking & Asset Management,Finance,$10+ billion (USD)
"Senior Business Analyst, Data Management",$98K-$114K (Glassdoor est.),3.4,"Plymouth Rock Assurance
3.4","Woodbridge, NJ","Boston, MA",1001 to 5000 employees,Insurance Carriers,Insurance,$10 to $25 million (USD)
Data Science Analyst II - Mount Sinai Health Partners,$98K-$114K (Glassdoor est.),3.4,"Mount Sinai Health System
3.4","New York, NY","New York, NY",10000+ employees,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
NY Healthcare Data/Reporting Analyst,$98K-$114K (Glassdoor est.),3.5,"SAT Healthcare
3.5","New York, NY","Santa Clara, CA",201 to 500 employees,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD)
Data Analyst,$98K-$114K (Glassdoor est.),3.3,"Atrium Staffing
3.3","Parsippany, NJ","New York, NY",51 to 200 employees,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Technical Business Analyst with Retail Banking and Large Data Program,$98K-$114K (Glassdoor est.),3.7,"eTeam Inc.
3.7","New York, NY","South Plainfield, NJ",51 to 200 employees,Staffing & Outsourcing,Business Services,$50 to $100 million (USD)
Principal Sales Operations Analyst - Oracle Data Cloud,$98K-$114K (Glassdoor est.),3.6,"Oracle
3.6","New York, NY","Redwood City, CA",10000+ employees,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
QA Production Data Analyst,$98K-$114K (Glassdoor est.),2.7,"Metroplus Health Plan
2.7","New York, NY","New York, NY",1001 to 5000 employees,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
JPSC-7462 - Data Analyst Lead - Sr. Tableau Lead,$98K-$114K (Glassdoor est.),4.5,"Avani Technology Solutions
4.5","Whippany, NJ","Rochester, NY",501 to 1000 employees,IT Services,Information Technology,$50 to $100 million (USD)
Data Services Lead Analyst,$98K-$114K (Glassdoor est.),2.5,"Primesoft
2.5","New York, NY","LISBOA, Portugal",1 to 50 employees,IT Services,Information Technology,Less than $1 million (USD)
"Sr Data Analyst, Go-Live",$98K-$114K (Glassdoor est.),4.4,"Riskified
4.4","New York, NY","New York, NY",501 to 1000 employees,Research & Development,Business Services,Unknown / Non-Applicable
Data Analyst III- SAS req'd,$98K-$114K (Glassdoor est.),-1,IPro.org,"Great Neck, NY",-1,-1,-1,-1,-1
Senior Healthcare Data Analyst,$98K-$114K (Glassdoor est.),4.3,"Cecelia Health
4.3","New York, NY","New York, NY",51 to 200 employees,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Regulatory Risk Management Data Analytics and Reporting Analyst,$98K-$114K (Glassdoor est.),5,"Creative Data Resources
5.0","New York, NY","New York, NY",1 to 50 employees,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
NY Healthcare Data/Reporting Analyst,$98K-$114K (Glassdoor est.),4.4,"Systemart LLC
4.4","New York, NY","Parsippany, NJ",1 to 50 employees,Computer Hardware & Software,Information Technology,$1 to $5 million (USD)
"Specialist, Data and Reporting Analyst - IT Change Management",$98K-$114K (Glassdoor est.),3.2,"The Bank of New York Mellon
3.2","Florham Park, NJ","New York, NY",10000+ employees,Investment Banking & Asset Management,Finance,$10+ billion (USD)
Datastage Developer/Consultant/IBM Websphere Datastage Developer(ETL Data Analyst)-Only Local to NY/,$98K-$114K (Glassdoor est.),4.8,"TechProjects
4.8","Jersey City, NJ","North Brunswick, NJ",1 to 50 employees,IT Services,Information Technology,Unknown / Non-Applicable
Data Analyst III- SAS req'd,$98K-$114K (Glassdoor est.),3,"IPRO
3.0","Lake Success, NY","N New Hyde Park, NY",201 to 500 employees,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD)
Data Warehouse systems analyst,$98K-$114K (Glassdoor est.),5,"ITech Recruiting
5.0","New York, NY","Shepton Mallet, United Kingdom",51 to 200 employees,-1,-1,Unknown / Non-Applicable
TX Healthcare Data/Reporting Analyst,$98K-$114K (Glassdoor est.),3.4,"RN Staff
3.4","New York, NY","Westfield, IN",Unknown,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
NY Healthcare Data/Reporting Analyst,$98K-$114K (Glassdoor est.),4.2,"Abacus Service Corporation
4.2","New York, NY","Southfield, MI",501 to 1000 employees,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Sr. Data Analyst - RWE,$98K-$114K (Glassdoor est.),4.2,"CyberCoders
4.2","Hoboken, NJ","Irvine, CA",201 to 500 employees,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Data Migration Lead/ Analyst (migration of data to the new target system),$98K-$114K (Glassdoor est.),3.4,"TECHNOCRAFT Solutions
3.4","New York, NY","Hilliard, OH",1 to 50 employees,Advertising & Marketing,Business Services,$1 to $5 million (USD)
Senior Data Analytics Solutions Analyst,$98K-$114K (Glassdoor est.),3.1,"Praescient Analytics
3.1","New York, NY","Alexandria, VA",51 to 200 employees,Consulting,Business Services,$10 to $25 million (USD)
Technical Analyst - Access/Identity Data Security,$98K-$114K (Glassdoor est.),-1,C&G Consulting Services,"Hoboken, NJ",-1,-1,-1,-1,-1
Data Analyst - Cardiac Cath Lab,$98K-$114K (Glassdoor est.),3.7,"RWJBarnabas Health
3.7","West Orange, NJ","West Orange, NJ",10000+ employees,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
Data Quality Management Analyst,$98K-$114K (Glassdoor est.),4,"Reliable Software Resources
4.0","New York, NY","Northville, MI",501 to 1000 employees,IT Services,Information Technology,$50 to $100 million (USD)
"Business Analyst (SQL/SQL TOAD, Excel, XML, X12, HL7 messaging, data quality analysis)",$48K-$96K (Glassdoor est.),4.3,"MVP Consulting Plus Inc
4.3","New York, NY","Albany, NY",201 to 500 employees,Consumer Products Manufacturing,Manufacturing,$5 to $10 million (USD)
Senior Teradata Developer / Data Analyst,$48K-$96K (Glassdoor est.),3.8,"Capgemini
3.8","Jersey City, NJ","Paris, France",10000+ employees,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
Data & Interface Analyst,$48K-$96K (Glassdoor est.),2.4,"Centers Plan for Healthy Living
2.4","Staten Island, NY","Staten Island, NY",501 to 1000 employees,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
NY Healthcare Data/Reporting Analyst,$48K-$96K (Glassdoor est.),3.4,"RN Staff
3.4","New York, NY","Westfield, IN",Unknown,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Healthcare Senior Data Analyst - HEDIS,$48K-$96K (Glassdoor est.),-1,Village Care,"New York, NY","Durham, United Kingdom",Unknown,-1,-1,Unknown / Non-Applicable
Data Analyst (Must have PL/SQL and Healthcare background),$48K-$96K (Glassdoor est.),-1,Clear Technology Consulting,"New York, NY",-1,-1,-1,-1,-1
Data Analyst / IT Data & Business Intelligence,$48K-$96K (Glassdoor est.),4,"Lorven Technologies Inc
4.0","Harrison, NY","Plainsboro, NJ",1 to 50 employees,Accounting,Accounting & Legal,Less than $1 million (USD)
Sr. Specialist Reporting Data Analyst -Technology,$48K-$96K (Glassdoor est.),3.2,"BNY Mellon
3.2","Florham Park, NJ","New York, NY",10000+ employees,Investment Banking & Asset Management,Finance,$10+ billion (USD)
Sr. Programmer Analyst - Big Data,$48K-$96K (Glassdoor est.),3.3,"Norgate Technology Inc
3.3","Jersey City, NJ","Garden City, NY",51 to 200 employees,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
Senior Data Analyst - FHC - Family Support Center,$48K-$96K (Glassdoor est.),-1,NYU Family Health Centers,"Brooklyn, NY",-1,-1,-1,-1,-1
Data Analyst â Junior,$48K-$96K (Glassdoor est.),5,"Staffigo Technical Services, LLC
5.0","New York, NY","Woodridge, IL",51 to 200 employees,IT Services,Information Technology,$50 to $100 million (USD)
Sr. Principal Metrics Analyst- Data Scientist,$48K-$96K (Glassdoor est.),3.2,"The Bank of New York Mellon
3.2","New York, NY","New York, NY",10000+ employees,Investment Banking & Asset Management,Finance,$10+ billion (USD)
Product & Pricing Data Analyst,$48K-$96K (Glassdoor est.),3.1,"HomeBridge Financial Services
3.1","Iselin, NJ","Iselin, NJ",1001 to 5000 employees,Lending,Finance,$10+ billion (USD)
SAP Data Analyst,$48K-$96K (Glassdoor est.),3.9,"Sharp Electronics Corporation
3.9","Montvale, NJ","Montvale, NJ",1001 to 5000 employees,IT Services,Information Technology,$1 to $2 billion (USD)
"Senior Data Analyst (E-commerce, Marketing)",$48K-$96K (Glassdoor est.),-1,JR Cigar/MC Management,"Whippany, NJ",-1,-1,-1,-1,-1
Clinical Data Designer (Sr. SDTM Programmer/Analyst),$48K-$96K (Glassdoor est.),2.5,"Avacend, Inc.
2.5","Woodcliff Lake, NJ","Alpharetta, GA",51 to 200 employees,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Senior Data Analytics Solutions Analyst with Security Clearance,$48K-$96K (Glassdoor est.),3.1,"Praescient Analytics
3.1","New York, NY","Alexandria, VA",51 to 200 employees,Consulting,Business Services,$10 to $25 million (USD)
"JPSC-7176 - Position 35, 59, 62, 100,101,102, 141,142,166 : Senior Data Analyst",$48K-$96K (Glassdoor est.),4.5,"Avani Technology Solutions
4.5","Brooklyn, NY","Rochester, NY",501 to 1000 employees,IT Services,Information Technology,$50 to $100 million (USD)
Senior Billing Data Analyst,$48K-$96K (Glassdoor est.),3.2,"Care Design New York
3.2","Bronx, NY","Albany, NY",1001 to 5000 employees,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Master Data Analyst,$48K-$96K (Glassdoor est.),4.4,"ACT Consulting
4.4","Parsippany, NJ","London, United Kingdom",1 to 50 employees,Consulting,Business Services,Unknown / Non-Applicable
Sr. Data Analyst,$48K-$96K (Glassdoor est.),3.8,"TekniSMart Solutions
3.8","Franklin Lakes, NJ","Plano, TX",1 to 50 employees,-1,-1,Unknown / Non-Applicable
"Senior Functional Analyst SAP Data design, SD/MM/PP",$48K-$96K (Glassdoor est.),3.4,"EVERSANA
3.4","New York, NY","Chicago, IL",1001 to 5000 employees,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable
Data Analyst,$26K-$47K (Glassdoor est.),-1,HOUSING AUTHORITY OF THE COUNTY OF SALT LAKE,"Salt Lake City, UT","South Salt Lake, UT",51 to 200 employees,Municipal Governments,Government,Unknown / Non-Applicable
Data Analyst,$26K-$47K (Glassdoor est.),2,"CAO Group, INC
2.0","West Jordan, UT","West Jordan, UT",51 to 200 employees,Electrical & Electronic Manufacturing,Manufacturing,$5 to $10 million (USD)
Data Analyst,$26K-$47K (Glassdoor est.),4.2,"University of Utah
4.2","Salt Lake City, UT","Salt Lake City, UT",10000+ employees,Colleges & Universities,Education,$2 to $5 billion (USD)
Data Analyst,$26K-$47K (Glassdoor est.),3.6,"Paladin Consulting Inc
3.6","Salt Lake City, UT","Dallas, TX",501 to 1000 employees,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
Data Analyst,$26K-$47K (Glassdoor est.),4.3,"SunTechPros, Inc.
4.3","Salt Lake City, UT","Morrisville, NC",1 to 50 employees,Consulting,Business Services,$1 to $5 million (USD)
Data Analyst,$26K-$47K (Glassdoor est.),4,"SGI Global, LLC
4.0","Salt Lake City, UT","Alexandria, VA",501 to 1000 employees,-1,-1,Unknown / Non-Applicable
Data Engineer / Data Analyst,$26K-$47K (Glassdoor est.),4.3,"HCL Global Systems
4.3","Salt Lake City, UT","Farmington Hills, MI",10000+ employees,Consulting,Business Services,$50 to $100 million (USD)
Junior Data Analyst,$26K-$47K (Glassdoor est.),4.1,"Abnormal Security
4.1","Lehi, UT","San Francisco, CA",51 to 200 employees,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Analyst,$26K-$47K (Glassdoor est.),4.5,"Vimerse
4.5","Salt Lake City, UT","Sugar Land, TX",51 to 200 employees,-1,-1,Unknown / Non-Applicable
Data Analyst : 20,$26K-$47K (Glassdoor est.),4.6,"Akraya Inc.
4.6","Salt Lake City, UT","Santa Clara, CA",51 to 200 employees,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
Data Intelligence - Product Data Quality Analyst (DE - RefData) - Data as a Service,$26K-$47K (Glassdoor est.),4,"Goldman Sachs
4.0","Salt Lake City, UT","New York, NY",10000+ employees,Investment Banking & Asset Management,Finance,$10+ billion (USD)
Data Engineer/Data Analyst (REMOTE/Eventually Onsite),$26K-$47K (Glassdoor est.),4.1,"Idexcel Inc.
4.1","Salt Lake City, UT","Herndon, VA",501 to 1000 employees,IT Services,Information Technology,Unknown / Non-Applicable
Data Engineer/Analyst,$26K-$47K (Glassdoor est.),3.6,"SPECTRAFORCE TECHNOLOGIES Inc.
3.6","Salt Lake City, UT","Raleigh, NC",501 to 1000 employees,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
Quality Data Analyst,$26K-$47K (Glassdoor est.),2.6,"Easton Technical Products
2.6","Salt Lake City, UT","Salt Lake City, UT",201 to 500 employees,Consumer Products Manufacturing,Manufacturing,$50 to $100 million (USD)
Technical Data Analyst/Architect,$26K-$47K (Glassdoor est.),3,"CIVICA INC
3.0","Lehi, UT","Vaughan, Canada",1 to 50 employees,-1,-1,Less than $1 million (USD)
Data Governance Analyst II,$26K-$47K (Glassdoor est.),3.6,"ENERBANK USA
3.6","Salt Lake City, UT","Salt Lake City, UT",1 to 50 employees,-1,-1,$100 to $500 million (USD)
Big Data Analyst,$26K-$47K (Glassdoor est.),2.9,"VED Software Services, Inc.
2.9","Salt Lake City, UT","Farmington Hills, MI",51 to 200 employees,IT Services,Information Technology,$5 to $10 million (USD)
Senior Data Analyst,$26K-$47K (Glassdoor est.),3.4,"Ascential
3.4","Salt Lake City, UT","London, United Kingdom",1001 to 5000 employees,Internet,Information Technology,$100 to $500 million (USD)
Data Analyst,$26K-$47K (Glassdoor est.),-1,Artius Solutions,"Salt Lake City, UT",-1,-1,-1,-1,-1
"Data Analyst at Salt Lake City, UT",$26K-$47K (Glassdoor est.),4.5,"Vimerse
4.5","Salt Lake City, UT","Sugar Land, TX",51 to 200 employees,-1,-1,Unknown / Non-Applicable
Senior Data Analyst,$26K-$47K (Glassdoor est.),3.8,"F5 Networks
3.8","Draper, UT","Seattle, WA",5001 to 10000 employees,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD)
Data Scientist/Analyst - Noke,$26K-$47K (Glassdoor est.),2.7,"Janus International Group, LLC
2.7","Lehi, UT","Temple, GA",501 to 1000 employees,Industrial Manufacturing,Manufacturing,$100 to $500 million (USD)
Data Analyst - W2 candidate,$26K-$47K (Glassdoor est.),3.3,"ClientSolv Technologies
3.3","American Fork, UT","Greenwood Village, CO",51 to 200 employees,IT Services,Information Technology,$10 to $25 million (USD)
Senior Data Analyst,$26K-$47K (Glassdoor est.),-1,DrangKro Aerospace,"Salt Lake City, UT",-1,-1,-1,-1,-1
Marketing Coordinator / Data Analyst,$26K-$47K (Glassdoor est.),-1,POPi/o Mobile Video Cloud,"Sandy, UT",-1,-1,-1,-1,-1
Senior Data Analyst,$26K-$47K (Glassdoor est.),5,"Resiliency LLC
5.0","Salt Lake City, UT","Stamford, CT",1 to 50 employees,-1,-1,Unknown / Non-Applicable
Financial Data Analyst,$26K-$47K (Glassdoor est.),3.5,"Vivint Solar
3.5","Lehi, UT","Lehi, UT",1001 to 5000 employees,Energy,"Oil, Gas, Energy & Utilities",$50 to $100 million (USD)
Special Operations (LREC) Incentives and Proficiency Data Analyst,$26K-$47K (Glassdoor est.),3.5,"YORKTOWN SYSTEMS GROUP INC
3.5","Riverton, UT","Huntsville, AL",501 to 1000 employees,Consulting,Business Services,$5 to $10 million (USD)
Senior Data Analyst,$26K-$47K (Glassdoor est.),4.1,"Shape Security
4.1","Draper, UT","Mountain View, CA",51 to 200 employees,IT Services,Information Technology,Unknown / Non-Applicable
